0ad a26-17
0ad-data a26-2
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.13.2-3
alsa-card-profiles 1:1.2.5-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amberol-git 2024.1.r53.gd1ca0ee-1
amberol-git-debug 2024.1.r53.gd1ca0ee-1
aom 3.10.0-1
appstream 1.0.3-1
appstream-glib 0.8.3-2
archlinux-keyring 20241015-1
argon2 20190702-6
aribb24 1.0.3-4
atkmm 2.28.4-1
at-spi2-core 2.54.0-2
attr 2.5.2-1
audacious-gtk3 4.4.1-1
audacious-gtk3-debug 4.4.1-1
audacious-plugins-gtk3 4.4.1-1
audacious-plugins-gtk3-debug 4.4.1-1
audiofile 0.3.6-9
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
babl 0.1.108-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bashtop 0.9.25-2
bc 1.07.1-5
bettergruvbox-gtk-theme 1.0-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
bluez-libs 5.78-1
boost-libs 1.86.0-3
brotli 1.1.0-2
btop 1.4.0-3
btrfs-progs 6.11-1
bubblewrap 0.10.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.105-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
c-ares 1.33.1-1
cava 0.10.2-2
cava-debug 0.10.2-2
cblas 3.12.0-5
cdparanoia 10.2-9
chromaprint 1.5.1-8
cider-bin 1.6.3-3
cider-bin-debug 1.6.3-3
cifs-utils 7.1-1
cksfv 1.3.15-2
clash 1.18.0-1
clucene 2.3.3.4-15
confuse 3.3-4
conky-lua-nv 1.21.7-1
conky-lua-nv-debug 1.21.7-1
coreutils 9.5-2
cracklib 2.10.2-1
cronie 1.7.2-1
cryptsetup 2.7.5-1
curl 8.10.1-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 3-1
desktop-file-utils 0.27-1
device-mapper 2.03.27-1
dhclient 4.4.3.P1-3
dhcpcd 10.1.0-1
diffutils 3.10-1
discord 0.0.71-1
dmenu 5.3-3
double-conversion 3.3.0-2
duf 0.8.1-3
duktape 2.7.0-7
dunst 1.11.0-1
e2fsprogs 1.47.1-4
ecliz-arch 2016.11.03-2
efibootmgr 18-3
efivar 39-1
ell 0.69-1
enca 1.19-6
enchant 2.8.2-1
enet 1.3.18-1
eom 1.28.0-2
exempi 2.6.5-1
exiv2 0.28.3-1
exo 4.18.0-3
